Ponto de Venda,Data,Origem / mídia da sessão,Campanha da sessão,Sessões,Transações,Receita,Origem Agrupada
Site,18/08/2025,(not set),(not set),21622,10,1853.969997,Outros Canais
Site,16/01/2025,(not set),(not set),21611,10,1750.999991,Outros Canais
Site,10/08/2025,(not set),(not set),21460,8,845.240003,Outros Canais
Site,13/08/2025,(not set),(not set),21287,2,328.749997,Outros Canais
Site,28/04/2025,(not set),(not set),21277,14,2780.3,Outros Canais
Site,06/08/2025,(not set),(not set),21172,4,2506.359996,Outros Canais
Site,08/08/2025,(not set),(not set),21142,10,798.0300139999999,Outros Canais
Site,09/08/2025,(not set),(not set),21117,2,204.16,Outros Canais
Site,06/01/2025,(not set),(not set),21114,4,660.479996,Outros Canais
Site,11/08/2025,(not set),(not set),21108,5,255.060006,Outros Canais
Site,07/01/2025,(not set),(not set),21080,8,4283.6599989999995,Outros Canais
Site,03/02/2025,(not set),(not set),21079,49,9280.200011,Outros Canais
Site,03/01/2025,(not set),(not set),21073,21,6921.710008,Outros Canais
Site,15/01/2025,(not set),(not set),21064,5,781.640001,Outros Canais
Site,29/04/2025,(not set),(not set),21060,6,671.99,Outros Canais
Site,21/07/2025,(not set),(not set),21052,5,1810.0,Outros Canais
Site,14/08/2025,(not set),(not set),21046,7,541.749995,Outros Canais
Site,17/08/2025,(not set),(not set),21029,3,201.929997,Outros Canais
Site,03/05/2025,(not set),(not set),21020,13,1125.4500050000001,Outros Canais
Site,27/05/2025,(not set),(not set),20908,5,750.86,Outros Canais
Site,02/08/2025,(not set),(not set),20862,1,31.640001,Outros Canais
Site,06/05/2025,(not set),(not set),20861,4,621.9400019999999,Outros Canais
Site,17/01/2025,(not set),(not set),20845,12,3002.33,Outros Canais
Site,03/08/2025,(not set),(not set),20844,5,467.190001,Outros Canais
Site,04/01/2025,(not set),(not set),20842,14,4448.77999,Outros Canais
Site,21/01/2025,(not set),(not set),20832,3,1077.189999,Outros Canais
Site,03/07/2025,(not set),(not set),20827,80,18111.540004999995,Outros Canais
Site,05/08/2025,(not set),(not set),20825,6,1266.6099960000001,Outros Canais
Site,30/07/2025,(not set),(not set),20784,7,358.04001,Outros Canais
Site,12/08/2025,(not set),(not set),20779,4,680.1799980000001,Outros Canais
Site,31/07/2025,(not set),(not set),20776,5,441.350008,Outros Canais
Site,07/08/2025,(not set),(not set),20776,3,244.750001,Outros Canais
Site,01/08/2025,(not set),(not set),20707,9,1133.949999,Outros Canais
Site,02/05/2025,(not set),(not set),20705,4,514.990001,Outros Canais
Site,01/06/2025,(not set),(not set),20684,18,3101.67999,Outros Canais
Site,14/01/2025,(not set),(not set),20667,8,1719.859999,Outros Canais
Site,20/01/2025,(not set),(not set),20659,10,3648.2700000000004,Outros Canais
Site,15/08/2025,(not set),(not set),20621,2,369.94999900000005,Outros Canais
Site,30/04/2025,(not set),(not set),20617,8,1020.72,Outros Canais
Site,20/07/2025,(not set),(not set),20617,7,915.9300020000001,Outros Canais
Site,16/08/2025,(not set),(not set),20617,4,432.129991,Outros Canais
Site,31/05/2025,(not set),(not set),20554,14,3743.809998,Outros Canais
Site,23/07/2025,(not set),(not set),20508,3,478.579997,Outros Canais
Site,04/05/2025,(not set),(not set),20489,4,453.20000400000004,Outros Canais
Site,18/07/2025,(not set),(not set),20452,8,1141.960005,Outros Canais
Site,02/01/2025,(not set),(not set),20439,9,1619.670012,Outros Canais
Site,10/02/2025,(not set),(not set),20429,30,6314.250007999999,Outros Canais
Site,25/07/2025,(not set),(not set),20413,8,1432.9300050000002,Outros Canais
Site,16/07/2025,(not set),(not set),20395,19,3103.060014,Outros Canais
Site,22/01/2025,(not set),(not set),20392,10,1528.910003,Outros Canais
Site,11/05/2025,(not set),(not set),20385,12,1317.490005,Outros Canais
Site,19/07/2025,(not set),(not set),20383,0,0.0,Outros Canais
Site,22/05/2025,(not set),(not set),20370,9,1850.090002,Outros Canais
Site,13/01/2025,(not set),(not set),20361,5,576.599996,Outros Canais
Site,29/01/2025,(not set),(not set),20343,3,356.999996,Outros Canais
Site,27/01/2025,(not set),(not set),20335,9,1147.6699979999999,Outros Canais
Site,30/05/2025,(not set),(not set),20324,21,3205.3300139999997,Outros Canais
Site,05/07/2025,(not set),(not set),20307,39,5768.540000000001,Outros Canais
Site,15/07/2025,(not set),(not set),20291,2,373.03,Outros Canais
Site,23/05/2025,(not set),(not set),20279,5,850.5400000000001,Outros Canais
Site,30/06/2025,(not set),(not set),20275,17,2815.16,Outros Canais
Site,05/02/2025,(not set),(not set),20263,5,1374.129997,Outros Canais
Site,01/05/2025,(not set),(not set),20262,8,876.419994,Outros Canais
Site,25/01/2025,(not set),(not set),20261,34,5319.260016,Outros Canais
Site,13/02/2025,(not set),(not set),20221,33,6208.6200069999995,Outros Canais
Site,05/01/2025,(not set),(not set),20212,17,3083.819997,Outros Canais
Site,26/05/2025,(not set),(not set),20210,8,1207.349996,Outros Canais
Site,26/04/2025,(not set),(not set),20182,3,589.659999,Outros Canais
Site,26/07/2025,(not set),(not set),20172,3,243.23000100000002,Outros Canais
Site,04/02/2025,(not set),(not set),20168,7,1964.9999990000001,Outros Canais
Site,13/05/2025,(not set),(not set),20123,11,2190.079989,Outros Canais
Site,29/05/2025,(not set),(not set),20119,13,3603.809997,Outros Canais
Site,08/05/2025,(not set),(not set),20117,8,1488.620011,Outros Canais
Site,28/05/2025,(not set),(not set),20116,7,830.3099990000001,Outros Canais
Site,22/04/2025,(not set),(not set),20109,5,654.2899990000001,Outros Canais
Site,25/04/2025,(not set),(not set),20106,2,264.91999599999997,Outros Canais
